CARID,CUSTID,MODEL,DESCR,VIN,LICPLATE
62000000,10000004,BMW,BMW M4,KM671CB31K2A5L6G1,5349-WF-7
62000001,10000000,Opel,Opel Insignia,DXW22V9MQRXFA3D38,5587-CP-4
62000002,10000001,Opel,Opel Insignia,GAKP3Q77K8S6PSQ47,3353-DC-7
62000003,10000003,VW,VW Golf 4,21T9C3P24C1NFV2L2,2514-EX-1
62000004,10000002,Audi,Audi A4,T9C2QVSGX274RG2YD,9941-VA-6
62000005,10000001,Toyota,Toyota RAV4,Y1795KH4B292VYR8W,5683-SL-7
62000006,10000001,Audi,Audi A4,YC2Y1WZ94X9YE03U1,9217-NI-5
62000007,10000004,Opel,Opel Astra H,7M27AEE0157IU1A0P,3407-YB-7
62000008,10000001,Opel,Opel Insignia,X886VUIJ49XH0JCWC,5186-XW-7
62000009,10000001,Audi,Audi A7,DAULO5MYTP4J177G4,0791-XL-7
62000010,10000003,Opel,Opel Astra H,99N58K2HP5235Q320,9420-OC-1
62000011,10000000,BMW,BMW X6,NF6659JBP0I2211EB,4907-LC-7
62000012,10000001,VW,VW Golf 4,I2FQ855143N6235U2,5535-ZG-6
62000013,10000003,Opel,Opel Astra H,7G4EE83778G5D42IJ,5872-YN-7
62000014,10000002,VW,VW Golf 4,USAE7Y17J63T7SL34,6693-WH-6
62000015,10000000,BMW,BMW M4,SRHT0QP22TQ1268TD,3893-QE-3
62000016,10000003,Tesla,Tesla Model S,F5K162FUXC16103S2,2467-CY-5
62000017,10000002,Opel,Opel Astra H,F3B1423BERXN9IV54,0815-XB-6
62000018,10000002,VW,VW Jetta,D6LBKJ960425IK10U,6637-LH-6
62000019,10000001,VW,VW Golf 5,P0U0RH4Y496Y7UXRU,5624-RC-5
62000020,10000002,BMW,BMW X6,38D4Q7585NY4U0F1H,7785-HZ-2
62000021,10000002,Opel,Opel Astra H,65706ZY4V7LE1U823,0281-MJ-6
62000022,10000004,BMW,BMW X6,3EWV2YV5F6FB8292S,7647-XA-7
62000023,10000003,Opel,Opel Corsa,LFX191U038Q40EI0P,8067-HS-7
62000024,10000002,Opel,Opel Astra H,JRQJNLYQ86EC6LY7Z,6087-ZY-3
62000025,10000000,VW,VW Golf 5,P88HX5J7CQC759R4M,8839-BU-7
62000026,10000004,Opel,Opel Astra H,XE7ORFH1R88934DNU,0343-TL-7
62000027,10000003,VW,VW Golf 4,U7G1RA44C50681QW3,4966-VY-5
62000028,10000004,BMW,BMW M4,1489TO479IKOQ9FQK,6363-DH-7
62000029,10000002,Audi,Audi A7,F129BA14AZ0898T3Q,8972-GY-7
62000030,10000002,Opel,Opel Insignia,K43S0BB68Q9EXE5Y0,9531-YM-5
62000031,10000003,Audi,Audi A4,D6P8548L8GTULT339,7151-KG-7
62000032,10000001,Opel,Opel Astra H,CLZ8PNI9MFVH27861,7922-BE-6
62000033,10000000,Opel,Opel Insignia,BQT6SJF6H9K1I1QZ4,7641-XW-5
62000034,10000001,Toyota,Toyota Camry,4F900XO6RML8855FP,7309-GM-3
62000035,10000003,VW,VW Golf 5,27I8E6T522XXO5879,0929-MA-7
62000036,10000004,Audi,Audi A4,W126407998X6XXXEZ,4257-AS-6
62000037,10000003,BMW,BMW M4,5O3W2TF8R69YX9T7X,1330-UJ-6
62000038,10000002,Audi,Audi A6,X3S99J780VLR0C14S,0374-LF-5
62000039,10000000,BMW,BMW M4,05O792LA53DRC3Z97,2696-DH-7
62000040,10000002,Toyota,Toyota Camry,7Z5H0XZ3XZ51NT90B,1216-AF-7
62000041,10000003,Audi,Audi A6,72Z7S046GQ4129G3P,2502-PE-6
62000042,10000000,Opel,Opel Astra H,O292I0N5491IO4TCD,2746-NO-6
62000043,10000001,VW,VW Jetta,8MO319V5VU4ZAK237,8553-JE-6
62000044,10000000,Opel,Opel Corsa,H7NRSMRB8OMB9B097,8752-RJ-5
62000045,10000003,VW,VW Golf 4,J7THWD5VVU034944R,8466-GS-7
62000046,10000001,Opel,Opel Astra H,J43EXH8CLU20981A7,4021-PR-7
62000047,10000003,Toyota,Toyota RAV4,0LILU61PI600HCMR4,3212-MW-7
62000048,10000004,Toyota,Toyota RAV4,4F3WU6H55ZD2N2X3I,0659-LO-7
62000049,10000002,Audi,Audi A7,IL7NFWO9EE53FWP9M,5132-SF-7
